"checkoutmonth","checkoutyear","sum_checkouts"
"1","2006","526150"
"1","2007","566154"
"1","2008","690820"
"1","2009","811744"
"1","2010","780244"
"1","2011","748863"
"1","2012","622560"
"1","2013","786349"
"1","2014","793457"
"1","2015","789797"
"1","2016","783571"
"1","2017","784793"
"1","2018","824500"
"1","2019","815020"
"1","2020","817471"
"2","2006","478656"
"2","2007","521483"
"2","2008","641607"
"2","2009","733588"
"2","2010","692941"
"2","2011","693463"
"2","2012","635670"
"2","2013","703956"
"2","2014","704654"
"2","2015","715403"
"2","2016","723752"
"2","2017","708209"
"2","2018","726732"
"2","2019","712202"
"2","2020","763431"
"3","2006","569725"
"3","2007","604820"
"3","2008","594418"
"3","2009","824232"
"3","2010","794942"
"3","2011","688476"
"3","2012","699744"
"3","2013","766391"
"3","2014","813356"
"3","2015","807099"
"3","2016","776545"
"3","2017","793675"
"3","2018","800357"
"3","2019","759175"
"3","2020","616715"
"4","2005","252663"
"4","2006","515456"
"4","2007","577829"
"4","2008","704365"
"4","2009","774017"
"4","2010","730328"
"4","2011","732355"
"4","2012","670349"
"4","2013","736040"
"4","2014","742078"
"4","2015","762047"
"4","2016","729060"
"4","2017","761779"
"4","2018","762282"
"4","2019","757007"
"4","2020","354572"
"5","2005","401395"
"5","2006","505991"
"5","2007","586460"
"5","2008","679470"
"5","2009","753774"
"5","2010","718106"
"5","2011","697337"
"5","2012","677642"
"5","2013","716967"
"5","2014","742930"
"5","2015","739476"
"5","2016","730562"
"5","2017","745428"
"5","2018","728675"
"5","2019","745387"
"5","2020","384293"
"6","2005","502439"
"6","2006","543712"
"6","2007","608071"
"6","2008","722487"
"6","2009","798267"
"6","2010","765169"
"6","2011","754185"
"6","2012","726435"
"6","2013","777652"
"6","2014","766886"
"6","2015","677516"
"6","2016","738774"
"6","2017","762530"
"6","2018","754591"
"6","2019","764098"
"7","2005","343668"
"7","2006","599220"
"7","2007","606976"
"7","2008","780656"
"7","2009","811193"
"7","2010","743721"
"7","2011","739663"
"7","2012","765205"
"7","2013","805276"
"7","2014","792742"
"7","2015","798964"
"7","2016","757236"
"7","2017","808669"
"7","2018","782721"
"7","2019","815286"
"8","2005","373707"
"8","2006","628165"
"8","2007","635166"
"8","2008","756432"
"8","2009","810237"
"8","2010","723757"
"8","2011","715239"
"8","2012","644342"
"8","2013","800211"
"8","2014","784123"
"8","2015","801557"
"8","2016","754035"
"8","2017","811385"
"8","2018","798178"
"8","2019","799133"
"9","2005","449334"
"9","2006","583268"
"9","2007","582929"
"9","2008","727656"
"9","2009","587940"
"9","2010","585196"
"9","2011","575665"
"9","2012","603837"
"9","2013","743535"
"9","2014","730607"
"9","2015","762919"
"9","2016","724243"
"9","2017","754678"
"9","2018","730100"
"9","2019","756442"
"10","2005","496172"
"10","2006","589076"
"10","2007","633657"
"10","2008","722313"
"10","2009","780908"
"10","2010","705156"
"10","2011","680681"
"10","2012","733765"
"10","2013","755115"
"10","2014","768474"
"10","2015","764027"
"10","2016","787779"
"10","2017","780560"
"10","2018","766035"
"10","2019","774513"
"11","2005","504867"
"11","2006","566870"
"11","2007","620485"
"11","2008","736929"
"11","2009","731248"
"11","2010","682938"
"11","2011","648789"
"11","2012","704315"
"11","2013","749399"
"11","2014","757147"
"11","2015","745961"
"11","2016","766273"
"11","2017","765249"
"11","2018","744556"
"11","2019","753986"
"12","2005","474440"
"12","2006","493029"
"12","2007","582597"
"12","2008","681333"
"12","2009","718019"
"12","2010","686468"
"12","2011","647016"
"12","2012","679182"
"12","2013","716205"
"12","2014","739627"
"12","2015","719413"
"12","2016","749221"
"12","2017","754693"
"12","2018","730449"
"12","2019","746834"
